rcasiteid,rcapid,x,y
F0607R01,F0607R012,-108.81,39.29
F0607R01,F0607R013,-108.81,39.29
F0607R01,F0607R014,-108.81,39.29
F0607R01,F0607R015,-108.81,39.29
F0608F01,F0608F011,-107.94,37.35
F0608F01,F0608F012,-107.94,37.35
F0608F01,F0608F014,-107.94,37.35
F0608F01,F0608F015,-107.94,37.35
F0608F02,F0608F021,-106.28,37.91
F0608F02,F0608F022,-106.28,37.91
F0608F02,F0608F023,-106.28,37.91
F0608F02,F0608F024,-106.28,37.91
F0608F02,F0608F025,-106.28,37.91
F0608F03,F0608F031,-105.58,36.16
F0608F03,F0608F032,-105.58,36.16
F0608F03,F0608F033,-105.58,36.16
F0608F03,F0608F034,-105.58,36.16
F0608F03,F0608F035,-105.58,36.16
F0608F04,F0608F041,-106.5,38.36
F0608F04,F0608F042,-106.5,38.36
F0608F04,F0608F043,-106.5,38.36
F0608F04,F0608F045,-106.5,38.36
F0608F05,F0608F051,-108.62,38.79
F0608F05,F0608F052,-108.62,38.79
F0608F05,F0608F053,-108.62,38.79
F0608F05,F0608F054,-108.62,38.79
F0608F05,F0608F055,-108.62,38.79
F0608F06,F0608F061,-108.29,40.13
F0608F06,F0608F062,-108.29,40.13
F0608F06,F0608F063,-108.29,40.13
F0608F06,F0608F064,-108.29,40.13
F0608R08,F0608R081,-106.18,38.1
F0608R08,F0608R082,-106.18,38.1
F0608R08,F0608R083,-106.18,38.1
F0608R08,F0608R084,-106.18,38.1
F0608R08,F0608R085,-106.18,38.1
F0609R02,F0609R021,-108.47,40.11
F0609R02,F0609R022,-108.47,40.11
F0609R02,F0609R023,-108.47,40.11
F0609R02,F0609R024,-108.47,40.11
F0609R02,F0609R025,-108.47,40.11
F0609R03,F0609R031,-107.55,36.49
F0609R03,F0609R032,-107.55,36.49
F0609R03,F0609R033,-107.55,36.49
F0609R03,F0609R034,-107.55,36.49
F0609R05,F0609R051,-108.84,39.93
F0609R05,F0609R052,-108.84,39.93
F0609R05,F0609R053,-108.84,39.93
F0609R05,F0609R054,-108.84,39.93
F0609R05,F0609R055,-108.84,39.93
F0612F01,F0612F011,-107.33,38.57
F0612F01,F0612F012,-107.33,38.57
F0612F01,F0612F013,-107.33,38.57
F0612F01,F0612F014,-107.33,38.57
F0612F01,F0612F015,-107.33,38.57
F0612F02,F0612F021,-107.28,38.23
F0612F02,F0612F022,-107.28,38.23
F0612F02,F0612F023,-107.28,38.23
F0612F02,F0612F024,-107.28,38.23
F0612F02,F0612F025,-107.28,38.23
F0612F03,F0612F031,-107.5,39.07
F0612F03,F0612F032,-107.5,39.07
F0612F03,F0612F033,-107.5,39.07
F0612F03,F0612F034,-107.5,39.07
F0612F03,F0612F035,-107.5,39.07
F0805R01,F0805R011,-107.92,36.63
F0805R01,F0805R012,-107.92,36.63
F0805R01,F0805R013,-107.92,36.63
F0805R01,F0805R014,-107.92,36.63
F0805R01,F0805R015,-107.92,36.63
F0806R08,F0806R081,-107.25,35.91
F0806R08,F0806R082,-107.25,35.91
F0806R08,F0806R083,-107.25,35.91
F0806R08,F0806R084,-107.25,35.91
F0806R08,F0806R085,-107.25,35.91
F0814R03,F0814R031,-108.04,36.28
F0814R03,F0814R032,-108.04,36.28
F0814R03,F0814R033,-108.04,36.28
F0814R03,F0814R034,-108.04,36.28
F0814R03,F0814R035,-108.04,36.28
F0814R08,F0814R081,-108.04,36.72
F0814R08,F0814R082,-108.04,36.72
F0814R08,F0814R083,-108.04,36.72
F0814R08,F0814R084,-108.04,36.72
F0814R08,F0814R085,-108.04,36.72
C0502C02,C0502C021,-103.99,38.1
C0502C02,C0502C022,-103.99,38.1
C0502C02,C0502C023,-103.99,38.1
C0502C02,C0502C024,-103.99,38.1
C0502C02,C0502C025,-103.99,38.1
C0502R01,C0502R011,-104.03,39.19
C0502R01,C0502R012,-104.03,39.19
C0502R01,C0502R013,-104.03,39.19
C0502R01,C0502R014,-104.03,39.19
C0502R01,C0502R015,-104.03,39.19
C0502R08,C0502R081,-101.59,40.03
C0502R08,C0502R082,-101.59,40.03
C0502R08,C0502R083,-101.59,40.03
C0502R08,C0502R084,-101.59,40.03
C0502R08,C0502R085,-101.59,40.03
C0503C04,C0503C041,-99.56,38.47
C0503C04,C0503C042,-99.56,38.47
C0503C04,C0503C043,-99.56,38.47
C0503C04,C0503C044,-99.56,38.47
C0503C04,C0503C045,-99.56,38.47
C0503R01,C0503R011,-99.25,37.46
C0503R01,C0503R012,-99.25,37.46
C0503R01,C0503R013,-99.25,37.46
C0503R01,C0503R014,-99.25,37.46
C0503R01,C0503R015,-99.25,37.46
C0503R03,C0503R031,-100.05,38.82
C0503R03,C0503R032,-100.05,38.82
C0503R03,C0503R034,-100.05,38.82
C0503R03,C0503R035,-100.05,38.82
C0503R05,C0503R051,-99.99,37.83
C0503R05,C0503R052,-99.99,37.83
C0503R05,C0503R053,-99.99,37.83
C0503R05,C0503R054,-99.99,37.83
C0503R05,C0503R055,-99.99,37.83
C0503X01,C0503X011,-99.67,38.22
C0503X01,C0503X012,-99.67,38.22
C0503X01,C0503X013,-99.67,38.22
C0503X01,C0503X014,-99.67,38.22
C0503X01,C0503X015,-99.67,38.22
C0503X05,C0503X051,-101.27,39.25
C0503X05,C0503X052,-101.27,39.25
C0503X05,C0503X053,-101.27,39.25
C0503X05,C0503X054,-101.27,39.25
C0503X05,C0503X055,-101.27,39.25
C0504C02,C0504C021,-100.92,37.77
C0504C02,C0504C022,-100.92,37.77
C0504C02,C0504C023,-100.92,37.77
C0504C02,C0504C024,-100.92,37.77
C0504C02,C0504C025,-100.92,37.77
C0504R02,C0504R021,-104.13,40.36
C0504R02,C0504R022,-104.13,40.36
C0504R02,C0504R023,-104.13,40.36
C0504R02,C0504R024,-104.13,40.36
C0504R02,C0504R025,-104.13,40.36
C0504R11,C0504R111,-102.49,37.66
C0504R11,C0504R112,-102.49,37.66
C0504R11,C0504R113,-102.49,37.66
C0504R11,C0504R114,-102.49,37.66
C0504R11,C0504R115,-102.49,37.66
C0504R18,C0504R181,-102.25,40.15
C0504R18,C0504R182,-102.25,40.15
C0504R18,C0504R183,-102.25,40.15
C0504R18,C0504R184,-102.25,40.15
C0504R18,C0504R185,-102.25,40.15
C0504R30,C0504R301,-103.55,40.26
C0504R30,C0504R302,-103.55,40.26
C0504R30,C0504R303,-103.55,40.26
C0504R30,C0504R304,-103.55,40.26
C0504R30,C0504R305,-103.55,40.26
C0505W04,C0505W041,-100.23,37.35
C0505W04,C0505W042,-100.23,37.35
